item_id,Issue id,Summary,Description,Priority,Resolution,Status,Created,Resolved,text,is_severe_fixed_bug
HBASE-13339359,13339359,Master fails to initialize when creating rs group table,"Saw this when setup TestRSGroupsKillRS

{noformat}
2020-11-07 16:29:54,565 ERROR [master/e476f4f509a7:0:becomeActiveMaster] helpers.MarkerIgnoringBase(159): Failed to become active master
java.lang.AssertionError
	at org.apache.hadoop.hbase.master.assignment.RegionStateNode.setProcedure(RegionStateNode.java:198)
	at org.apache.hadoop.hbase.master.assignment.AssignmentManager.createAssignProcedure(AssignmentManager.java:647)
	at org.apache.hadoop.hbase.master.assignment.AssignmentManager.lambda$null$6(AssignmentManager.java:878)
	at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193)
	at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193)
	at java.util.ArrayList$ArrayListSpliterator.forEachRemaining(ArrayList.java:1382)
	at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482)
	at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472)
	at java.util.stream.ForEachOps$ForEachOp.evaluateSequential(ForEachOps.java:150)
	at java.util.stream.ForEachOps$ForEachOp$OfRef.evaluateSequential(ForEachOps.java:173)
	at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234)
	at java.util.stream.ReferencePipeline.forEach(ReferencePipeline.java:485)
	at java.util.stream.ReferencePipeline$7$1.accept(ReferencePipeline.java:272)
	at java.util.HashMap$EntrySpliterator.forEachRemaining(HashMap.java:1699)
	at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482)
	at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472)
	at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:546)
	at java.util.stream.AbstractPipeline.evaluateToArrayNode(AbstractPipeline.java:260)
	at java.util.stream.ReferencePipeline.toArray(ReferencePipeline.java:505)
	at org.apache.hadoop.hbase.master.assignment.AssignmentManager.createAssignProcedures(AssignmentManager.java:879)
	at org.apache.hadoop.hbase.master.assignment.AssignmentManager.createRoundRobinAssignProcedures(AssignmentManager.java:759)
	at org.apache.hadoop.hbase.master.assignment.AssignmentManager.createRoundRobinAssignProcedures(AssignmentManager.java:775)
	at org.apache.hadoop.hbase.master.assignment.AssignmentManager.processOfflineRegions(AssignmentManager.java:1513)
	at org.apache.hadoop.hbase.master.HMaster.finishActiveMasterInitialization(HMaster.java:1012)
	at org.apache.hadoop.hbase.master.HMaster.startActiveMasterManager(HMaster.java:2116)
	at org.apache.hadoop.hbase.master.HMaster.lambda$run$0(HMaster.java:515)
	at java.lang.Thread.run(Thread.java:748)
{noformat}",Critical,Fixed,Resolved,08/Nov/20 03:37,13/Nov/20 08:26,"Master fails to initialize when creating rs group table. Saw this when setup TestRSGroupsKillRS

{noformat}
2020-11-07 16:29:54,565 ERROR [master/e476f4f509a7:0:becomeActiveMaster] helpers.MarkerIgnoringBase(159): Failed to become active master
java.lang.AssertionError
	at org.apache.hadoop.hbase.master.assignment.RegionStateNode.setProcedure(RegionStateNode.java:198)
	at org.apache.hadoop.hbase.master.assignment.AssignmentManager.createAssignProcedure(AssignmentManager.java:647)
	at org.apache.hadoop.hbase.master.assignment.AssignmentManager.lambda$null$6(AssignmentManager.java:878)
	at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193)
	at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193)
	at java.util.ArrayList$ArrayListSpliterator.forEachRemaining(ArrayList.java:1382)
	at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482)
	at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472)
	at java.util.stream.ForEachOps$ForEachOp.evaluateSequential(ForEachOps.java:150)
	at java.util.stream.ForEachOps$ForEachOp$OfRef.evaluateSequential(ForEachOps.java:173)
	at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234)
	at java.util.stream.ReferencePipeline.forEach(ReferencePipeline.java:485)
	at java.util.stream.ReferencePipeline$7$1.accept(ReferencePipeline.java:272)
	at java.util.HashMap$EntrySpliterator.forEachRemaining(HashMap.java:1699)
	at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482)
	at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472)
	at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:546)
	at java.util.stream.AbstractPipeline.evaluateToArrayNode(AbstractPipeline.java:260)
	at java.util.stream.ReferencePipeline.toArray(ReferencePipeline.java:505)
	at org.apache.hadoop.hbase.master.assignment.AssignmentManager.createAssignProcedures(AssignmentManager.java:879)
	at org.apache.hadoop.hbase.master.assignment.AssignmentManager.createRoundRobinAssignProcedures(AssignmentManager.java:759)
	at org.apache.hadoop.hbase.master.assignment.AssignmentManager.createRoundRobinAssignProcedures(AssignmentManager.java:775)
	at org.apache.hadoop.hbase.master.assignment.AssignmentManager.processOfflineRegions(AssignmentManager.java:1513)
	at org.apache.hadoop.hbase.master.HMaster.finishActiveMasterInitialization(HMaster.java:1012)
	at org.apache.hadoop.hbase.master.HMaster.startActiveMasterManager(HMaster.java:2116)
	at org.apache.hadoop.hbase.master.HMaster.lambda$run$0(HMaster.java:515)
	at java.lang.Thread.run(Thread.java:748)
{noformat}",1
HBASE-13416115,13416115,Investigate mTLS in RPC layer,"Current authentication options are heavily based on SASL and Kerberos. For organizations that don't already deploy Kerberos or other token provider, this is a heavy lift. Another very common way of authenticating in the industry is mTLS, which makes use of SSL certifications and can solve both wire encryption and auth. For those already deploying trusted certificates in their infra, mTLS may be much easier to integrate.

It isn't necessarily easy to implement this, but I do think we could use existing Netty SSL support in the NettyRpcClient and NettyRpcServer. I know it's easy to add SSL to non-blocking IO through a hadoop.rpc.socket.factory.class.default which returns SSLSockets, but that doesn't touch on the certification verification at all.

Much more investigation is needed, but logging this due to some interest encountered on slack.

Slack thread: https://apache-hbase.slack.com/archives/C13K8NVAM/p1638980520110600",Major,Done,Resolved,08/Dec/21 17:38,24/Aug/22 18:08,"Investigate mTLS in RPC layer. Current authentication options are heavily based on SASL and Kerberos. For organizations that don't already deploy Kerberos or other token provider, this is a heavy lift. Another very common way of authenticating in the industry is mTLS, which makes use of SSL certifications and can solve both wire encryption and auth. For those already deploying trusted certificates in their infra, mTLS may be much easier to integrate.

It isn't necessarily easy to implement this, but I do think we could use existing Netty SSL support in the NettyRpcClient and NettyRpcServer. I know it's easy to add SSL to non-blocking IO through a hadoop.rpc.socket.factory.class.default which returns SSLSockets, but that doesn't touch on the certification verification at all.

Much more investigation is needed, but logging this due to some interest encountered on slack.

Slack thread: https://apache-hbase.slack.com/archives/C13K8NVAM/p1638980520110600",0
HBASE-13324746,13324746,CompactingMemStore.timeOfOldestEdit error update,"when use 'flush in memory', update timeOfOldestEdit every flush in memory, cause PeriodicMemStoreFlusher to not take effect, wals not free, constant backlog until maxlogs  triggers forced flush, makes failure recovery slower",Critical,Fixed,Resolved,27/Aug/20 03:03,10/Sep/20 16:51,"CompactingMemStore.timeOfOldestEdit error update. when use 'flush in memory', update timeOfOldestEdit every flush in memory, cause PeriodicMemStoreFlusher to not take effect, wals not free, constant backlog until maxlogs  triggers forced flush, makes failure recovery slower",1
HBASE-13449222,13449222,All MR UTs are broken because of ClassNotFound,It seems we must include leveldbjni-all when starting a MiniYARNCluster.,Critical,Fixed,Resolved,09/Jun/22 12:02,09/Jun/22 17:02,All MR UTs are broken because of ClassNotFound. It seems we must include leveldbjni-all when starting a MiniYARNCluster.,1
HBASE-13310441,13310441,[branch-1] Support ZooKeeper 3.6.0+,"Fix compilation issues against ZooKeeper 3.6.0. Backwards compatible changes with 3.4 and 3.5. Tested with:

{{  mvn clean install -Dtest=org.apache.hadoop.hbase.zookeeper.**}}

{{  mvn clean install -Dzookeeper.version=3.5.8 -Dtest=org.apache.hadoop.hbase.zookeeper.**}}

{{  mvn clean install -Dzookeeper.version=3.6.0 -Dtest=org.apache.hadoop.hbase.zookeeper.**}}",Minor,Fixed,Resolved,09/Jun/20 17:10,05/Apr/21 03:49,"[branch-1] Support ZooKeeper 3.6.0+. Fix compilation issues against ZooKeeper 3.6.0. Backwards compatible changes with 3.4 and 3.5. Tested with:

{{  mvn clean install -Dtest=org.apache.hadoop.hbase.zookeeper.**}}

{{  mvn clean install -Dzookeeper.version=3.5.8 -Dtest=org.apache.hadoop.hbase.zookeeper.**}}

{{  mvn clean install -Dzookeeper.version=3.6.0 -Dtest=org.apache.hadoop.hbase.zookeeper.**}}",0
HBASE-13368083,13368083,Convert proto to RSGroupInfo is costly,"Convert RSGroupProtos.RSGroupInfo to RSGroupInfo is costly if the RSGroup has too many RSs and tables. 

We can use parallelStream to handle the HBaseProtos.ServerName list and TableProtos.TableName list in ProtubufUtil#toGroupInfo as blow.
{quote}Collection<Address> addresses = proto.getServersList()
 .parallelStream()
 .map(server -> Address.fromParts(server.getHostName(), server.getPort()))
 .collect(Collectors.toList());

Collection<TableName> tables = proto.getTablesList()
 .parallelStream()
 .map(tableName -> ProtobufUtil.toTableName(tableName))
 .collect(Collectors.toList());


{quote}
Get the RSGroupInfo which has 9 RS and 20k tables, the time cost reduced from 6038 ms to 684 ms.",Minor,Fixed,Resolved,27/Mar/21 10:18,29/Mar/21 19:01,"Convert proto to RSGroupInfo is costly. Convert RSGroupProtos.RSGroupInfo to RSGroupInfo is costly if the RSGroup has too many RSs and tables. 

We can use parallelStream to handle the HBaseProtos.ServerName list and TableProtos.TableName list in ProtubufUtil#toGroupInfo as blow.
{quote}Collection<Address> addresses = proto.getServersList()
 .parallelStream()
 .map(server -> Address.fromParts(server.getHostName(), server.getPort()))
 .collect(Collectors.toList());

Collection<TableName> tables = proto.getTablesList()
 .parallelStream()
 .map(tableName -> ProtobufUtil.toTableName(tableName))
 .collect(Collectors.toList());


{quote}
Get the RSGroupInfo which has 9 RS and 20k tables, the time cost reduced from 6038 ms to 684 ms.",0
HBASE-13419720,13419720,"Should use downloads.apache.org for checksum, signature, changes.md and releasenote.md","We still use dist.apache.org for some releases, should change them too.",Major,Fixed,Resolved,28/Dec/21 14:00,06/Jan/22 12:35,"Should use downloads.apache.org for checksum, signature, changes.md and releasenote.md. We still use dist.apache.org for some releases, should change them too.",0
HBASE-13513268,13513268,Provide RS coproc ability to attach WAL extended attributes to mutations at replication sink,"HBase provides coproc ability to enhance WALKey attributes (a.k.a. WAL annotations) in order for the replication sink cluster to build required metadata with the mutations. The endpoint is preWALAppend(). This ability was provided by HBASE-22622. The map of extended attributes is optional and hence not directly used by hbase internally. 

For any hbase downstreamers to build CDC (Change Data Capture) like functionality, it might required additional metadata in addition to the ones being used by hbase already (replication scope, list of cluster ids, seq id, table name, region id etc). For instance, Phoenix uses many additional attributes like tenant id, schema name, table type etc.
We already have this extended map of attributes available in WAL protobuf, to provide us the capability to (de)serialize it. While creating new ReplicateWALEntryRequest from the list of WAL entires, we are able to serialize the additional attributes. Similarly, at the replication sink side, the deserialized WALEntry has the extended attributes available.

At the sink cluster, we should be able to attach the deserialized extended attributes to the newly generated mutations so that the peer cluster can utilize the mutation attributes to re-build required metadata.",Major,Fixed,Resolved,12/Dec/22 23:44,16/Jan/23 19:55,"Provide RS coproc ability to attach WAL extended attributes to mutations at replication sink. HBase provides coproc ability to enhance WALKey attributes (a.k.a. WAL annotations) in order for the replication sink cluster to build required metadata with the mutations. The endpoint is preWALAppend(). This ability was provided by HBASE-22622. The map of extended attributes is optional and hence not directly used by hbase internally. 

For any hbase downstreamers to build CDC (Change Data Capture) like functionality, it might required additional metadata in addition to the ones being used by hbase already (replication scope, list of cluster ids, seq id, table name, region id etc). For instance, Phoenix uses many additional attributes like tenant id, schema name, table type etc.
We already have this extended map of attributes available in WAL protobuf, to provide us the capability to (de)serialize it. While creating new ReplicateWALEntryRequest from the list of WAL entires, we are able to serialize the additional attributes. Similarly, at the replication sink side, the deserialized WALEntry has the extended attributes available.

At the sink cluster, we should be able to attach the deserialized extended attributes to the newly generated mutations so that the peer cluster can utilize the mutation attributes to re-build required metadata.",0
HBASE-13376813,13376813,Backport HBASE-22120 (Replace HTrace with OpenTelemetry) to branch-2,"list of commits from upstream/master need to be backported 

{code}
HBASE-25373 https://github.com/apache/hbase/commit/302d9ea8b888762a5a20a5ba5c2be7bc239afaef 
HBASE-25401 https://github.com/apache/hbase/commit/242028671535dfed67ec13d9ed0d6067f3ccfd04 
HBASE-25424 https://github.com/apache/hbase/commit/57960fa8fa7228d65b1a4adc8e9b5b1a8158824d 
HBASE-23898 https://github.com/apache/hbase/commit/805b2ae2ad0f6325515d46043ff01e4e2c7a9f59 
HBASE-25454 https://github.com/apache/hbase/commit/dcb78bd4bda4a4ae13d863df8aec266031e5bc93
HBASE-25481 https://github.com/apache/hbase/commit/ae2c62ffaad5ba4c976b0a79c10a365edf2844fd
HBASE-25455 https://github.com/apache/hbase/commit/03e12bfa4ad62ecc6eee6a2c68d431bea2d5c473
HBASE-25484 https://github.com/apache/hbase/commit/2be2c63f0d3917a243b74af9754cbfc805b858d1
HBASE-25535 https://github.com/apache/hbase/commit/bb8c4967f8ce2c89ebaf1ddc5d8a1bf55f1e20d3
HBASE-25591 https://github.com/apache/hbase/commit/f6ff519dd0c7fe0e3ae3c175eefee27a26a065a4
HBASE-25617 https://github.com/apache/hbase/commit/8d68f8cd1c8613be1b499eaa99f46806b2743294
HBASE-25616 https://github.com/apache/hbase/commit/8399293e21127df3ffdcb757242e4cb5964c7e99
HBASE-25723 https://github.com/apache/hbase/commit/7f90c2201f6a17d2e2d031505c35ae7c2b1ed7ea
HBASE-25732 https://github.com/apache/hbase/commit/8df9bebdd367d52a32b08c18a7cf4f9c2d712071
HBASE-25733 https://github.com/apache/hbase/commit/b71488998970a3353086a34736ed1edab527f673
HBASE-23762 https://github.com/apache/hbase/commit/be4503d9f82f044fbfce21c8a42d0b1684607238
HBASE-25778 https://github.com/apache/hbase/commit/f36e1539648bbaee84c626fd54d1605baebf3c5a
{code}",Major,Fixed,Resolved,05/May/21 15:14,01/Sep/21 22:31,"Backport HBASE-22120 (Replace HTrace with OpenTelemetry) to branch-2. list of commits from upstream/master need to be backported 

{code}
HBASE-25373 https://github.com/apache/hbase/commit/302d9ea8b888762a5a20a5ba5c2be7bc239afaef 
HBASE-25401 https://github.com/apache/hbase/commit/242028671535dfed67ec13d9ed0d6067f3ccfd04 
HBASE-25424 https://github.com/apache/hbase/commit/57960fa8fa7228d65b1a4adc8e9b5b1a8158824d 
HBASE-23898 https://github.com/apache/hbase/commit/805b2ae2ad0f6325515d46043ff01e4e2c7a9f59 
HBASE-25454 https://github.com/apache/hbase/commit/dcb78bd4bda4a4ae13d863df8aec266031e5bc93
HBASE-25481 https://github.com/apache/hbase/commit/ae2c62ffaad5ba4c976b0a79c10a365edf2844fd
HBASE-25455 https://github.com/apache/hbase/commit/03e12bfa4ad62ecc6eee6a2c68d431bea2d5c473
HBASE-25484 https://github.com/apache/hbase/commit/2be2c63f0d3917a243b74af9754cbfc805b858d1
HBASE-25535 https://github.com/apache/hbase/commit/bb8c4967f8ce2c89ebaf1ddc5d8a1bf55f1e20d3
HBASE-25591 https://github.com/apache/hbase/commit/f6ff519dd0c7fe0e3ae3c175eefee27a26a065a4
HBASE-25617 https://github.com/apache/hbase/commit/8d68f8cd1c8613be1b499eaa99f46806b2743294
HBASE-25616 https://github.com/apache/hbase/commit/8399293e21127df3ffdcb757242e4cb5964c7e99
HBASE-25723 https://github.com/apache/hbase/commit/7f90c2201f6a17d2e2d031505c35ae7c2b1ed7ea
HBASE-25732 https://github.com/apache/hbase/commit/8df9bebdd367d52a32b08c18a7cf4f9c2d712071
HBASE-25733 https://github.com/apache/hbase/commit/b71488998970a3353086a34736ed1edab527f673
HBASE-23762 https://github.com/apache/hbase/commit/be4503d9f82f044fbfce21c8a42d0b1684607238
HBASE-25778 https://github.com/apache/hbase/commit/f36e1539648bbaee84c626fd54d1605baebf3c5a
{code}",0
HBASE-13376455,13376455,Move regionserver http-related code into o.a.h.h.regionserver.http,Minor refactor. Group code related to the Region Server's Info Page into a common package.,Minor,Fixed,Resolved,03/May/21 22:43,04/May/21 22:47,Move regionserver http-related code into o.a.h.h.regionserver.http. Minor refactor. Group code related to the Region Server's Info Page into a common package.,0
HBASE-13308417,13308417,Rename LocalRegion to MasterRegion,"This is a suggestion by [~ndimiduk] when reviewing the PR for HBASE-24408.

https://github.com/apache/hbase/pull/1753#discussion_r432783115

I think this can make the code less confusing.",Blocker,Fixed,Resolved,29/May/20 23:57,02/Jun/20 18:14,"Rename LocalRegion to MasterRegion. This is a suggestion by [~ndimiduk] when reviewing the PR for HBASE-24408.

https://github.com/apache/hbase/pull/1753#discussion_r432783115

I think this can make the code less confusing.",1
HBASE-13412865,13412865,Adhere to semantic conventions regarding table data operations,Follow the guidance outlined in https://github.com/open-telemetry/opentelemetry-specification/blob/3e380e2/specification/trace/semantic_conventions/database.dm,Major,Fixed,Resolved,20/Nov/21 00:43,01/Feb/22 21:53,Adhere to semantic conventions regarding table data operations. Follow the guidance outlined in https://github.com/open-telemetry/opentelemetry-specification/blob/3e380e2/specification/trace/semantic_conventions/database.dm,0
HBASE-13475624,13475624,Add mutual authentication support to TLS,"With HBASE-26666 we now have native TLS on server and client. By default clients validate server certificate on handshake. This issue adds server authentication of clients. We can also add support for custom rules, such as cert CommonName validation.

I've already got a POC running of this, so assigning to me",Major,Fixed,Resolved,07/Aug/22 21:26,23/Sep/22 13:20,"Add mutual authentication support to TLS. With HBASE-26666 we now have native TLS on server and client. By default clients validate server certificate on handshake. This issue adds server authentication of clients. We can also add support for custom rules, such as cert CommonName validation.

I've already got a POC running of this, so assigning to me",0
HBASE-13302594,13302594,Backport HBase-24199 to 2.1.x branches,Noticed that 2.1.x line has this issue also and we need this patch backported to 2.1.x line,Minor,Fixed,Resolved,04/May/20 07:55,09/Jun/20 08:58,Backport HBase-24199 to 2.1.x branches. Noticed that 2.1.x line has this issue also and we need this patch backported to 2.1.x line,0
HBASE-13585676,13585676,SteppingSplitPolicy may not work when table enables region replication,"Reproduction:

1. Create a table with region replication, and ensure that the primary region and replica region are on the same RS (eg: the HBase cluster has only one RS)
create 't01', 'info', \{REGION_REPLICATION => 2}

2. The first region does not split when storefile size exceed  flushsize * 2, because that we get 2 regions about this table on this RS (1 primary region and 1 replica region)

 

I think we should ignore the replica reggion when getting the count of regions on this same regionserver.

Is my idea correct? maybe can discuss it .",Minor,Fixed,Resolved,13/Jul/24 05:18,15/Jul/24 14:29,"SteppingSplitPolicy may not work when table enables region replication. Reproduction:

1. Create a table with region replication, and ensure that the primary region and replica region are on the same RS (eg: the HBase cluster has only one RS)
create 't01', 'info', \{REGION_REPLICATION => 2}

2. The first region does not split when storefile size exceed  flushsize * 2, because that we get 2 regions about this table on this RS (1 primary region and 1 replica region)

 

I think we should ignore the replica reggion when getting the count of regions on this same regionserver.

Is my idea correct? maybe can discuss it .",0
HBASE-13309564,13309564,async client deadlock,"I ran into an issue where one instance in a cluster of application servers backed by HBase stopped processing requests. Looking at a thread dump, it seems HBase client threads are deadlocked:

https://pastebin.com/raw/B3FJL1Ag

The deadlock seemed to happen at the same time that a region server was abruptly stopped (the physical server was restarted unexpectedly).

I'm using the hbase async API. The hbase client version is 2.2.4. The server is running 2.2.4 as well.",Blocker,Fixed,Resolved,05/Jun/20 00:34,08/Jun/20 02:21,"async client deadlock. I ran into an issue where one instance in a cluster of application servers backed by HBase stopped processing requests. Looking at a thread dump, it seems HBase client threads are deadlocked:

https://pastebin.com/raw/B3FJL1Ag

The deadlock seemed to happen at the same time that a region server was abruptly stopped (the physical server was restarted unexpectedly).

I'm using the hbase async API. The hbase client version is 2.2.4. The server is running 2.2.4 as well.",1
HBASE-13281765,13281765,Release 1.4.13,over due for 1.4.13. I'll try to use the release manager scripts this time.,Major,Fixed,Resolved,27/Jan/20 17:21,06/Mar/20 03:00,Release 1.4.13. over due for 1.4.13. I'll try to use the release manager scripts this time.,0
HBASE-13524992,13524992,Should not return false when WALKey has no following KVs while reading WAL file,"In the current implementation

{code}
      if (!walKey.hasFollowingKvCount() || 0 == walKey.getFollowingKvCount()) {
        LOG.trace(""WALKey has no KVs that follow it; trying the next one. current offset={}"",
          this.inputStream.getPos());
        seekOnFs(originalPosition);
        return false;
      }
{code}

Here we just return false, seek back to the original position. I think the intention here is that it means the data is not available yet and we should try to read them next time.

But this class is not only used for replication, it is also used by splitting, return false will make the reader.next return null, and WALSplitter will think the WAL file has been fully read and complete the splitting task. If there are still other WAL entries in the file, we will miss reading them and cause data loss.

And in fact, the following kv count is a field in a pb message, so it is impossible that now it is 0 but later it will become a value greater than 0, as we use writeDelimited to write the message, there is a size in front of the message, if we read it successfully, we can make sure the message is complete/ So seeking back in replication is also an useless operation.

So here we propose we still need to return true here, so the upper layer are free to skip or not, but they still need to read other entries.",Critical,Fixed,Resolved,16/Feb/23 09:47,26/Feb/23 08:36,"Should not return false when WALKey has no following KVs while reading WAL file. In the current implementation

{code}
      if (!walKey.hasFollowingKvCount() || 0 == walKey.getFollowingKvCount()) {
        LOG.trace(""WALKey has no KVs that follow it; trying the next one. current offset={}"",
          this.inputStream.getPos());
        seekOnFs(originalPosition);
        return false;
      }
{code}

Here we just return false, seek back to the original position. I think the intention here is that it means the data is not available yet and we should try to read them next time.

But this class is not only used for replication, it is also used by splitting, return false will make the reader.next return null, and WALSplitter will think the WAL file has been fully read and complete the splitting task. If there are still other WAL entries in the file, we will miss reading them and cause data loss.

And in fact, the following kv count is a field in a pb message, so it is impossible that now it is 0 but later it will become a value greater than 0, as we use writeDelimited to write the message, there is a size in front of the message, if we read it successfully, we can make sure the message is complete/ So seeking back in replication is also an useless operation.

So here we propose we still need to return true here, so the upper layer are free to skip or not, but they still need to read other entries.",1
HBASE-13292317,13292317,Backport the personality changes in HBASE-23989 to all active branches,,Major,Fixed,Resolved,18/Mar/20 02:01,20/Mar/20 06:34,Backport the personality changes in HBASE-23989 to all active branches.,0
HBASE-13284007,13284007,License checker for hbase-thirdparty,"I'm playing with hbase-thirdparty artifacts, and realized it doesn't perform license check like the core hbase do.

This is a wish list to add that support some day.",Minor,,Open,07/Feb/20 20:47,,"License checker for hbase-thirdparty. I'm playing with hbase-thirdparty artifacts, and realized it doesn't perform license check like the core hbase do.

This is a wish list to add that support some day.",0
HBASE-13570454,13570454,create-release should spotless:apply after making any file changes,"Looks like the release notes generator can sometimes leave whitespace in its changes, as is currently the case on branch-2.5. We should be a little more careful about this in the create-release scripts. Anything that performs and commits some change should run spotless:apply over the affected files.",Major,Fixed,Resolved,01/Mar/24 10:09,21/Apr/24 12:20,"create-release should spotless:apply after making any file changes. Looks like the release notes generator can sometimes leave whitespace in its changes, as is currently the case on branch-2.5. We should be a little more careful about this in the create-release scripts. Anything that performs and commits some change should run spotless:apply over the affected files.",0
HBASE-13316487,13316487,Distributing ROOT Region load,"HBASE-11288 'Splittable Meta' progress keeps getting hung up on how to cache the 'root' table – the first table in the hierarchy of lookups locating user-data in a Table Region. The 'root' table is not splittable by design so its load can not be spread about the cluster by splitting the hot Region as we would usually do.

This issue is about listing out requirements, sketching possible approaches, and then getting agreement ahead of implementation as subtasks.

In particular, an approach that would work whether the Region to be cached is master-based or hosted by a RegionServer (see design attached to HBASE-11288 for elaboration) would be preferred since then we can separate discussion of cache from the HBASE-11288 'split meta' discussion.",Major,,Open,13/Jul/20 15:51,,"Distributing ROOT Region load. HBASE-11288 'Splittable Meta' progress keeps getting hung up on how to cache the 'root' table – the first table in the hierarchy of lookups locating user-data in a Table Region. The 'root' table is not splittable by design so its load can not be spread about the cluster by splitting the hot Region as we would usually do.

This issue is about listing out requirements, sketching possible approaches, and then getting agreement ahead of implementation as subtasks.

In particular, an approach that would work whether the Region to be cached is master-based or hosted by a RegionServer (see design attached to HBASE-11288 for elaboration) would be preferred since then we can separate discussion of cache from the HBASE-11288 'split meta' discussion.",0
HBASE-13286162,13286162,[Flakey Test] TestStochasticLoadBalancerRegionReplicaSameHosts#testRegionReplicationOnMidClusterSameHosts,"Test has this on it:

@Test // Test is flakey. TODO: Fix!

Let me cut it down. It runs for a while.

It fails nearly every run since     HBASE-23865 Up flakey history from 5 to 10 which upped the flakey test so it ran with more fork count.",Major,Fixed,Resolved,19/Feb/20 06:38,19/Feb/20 06:42,"[Flakey Test] TestStochasticLoadBalancerRegionReplicaSameHosts#testRegionReplicationOnMidClusterSameHosts. Test has this on it:

@Test // Test is flakey. TODO: Fix!

Let me cut it down. It runs for a while.

It fails nearly every run since     HBASE-23865 Up flakey history from 5 to 10 which upped the flakey test so it ran with more fork count.",0
HBASE-13314406,13314406,Offload the replication source/sink job to independent Replication Server,"The basic idea is add a role ""ReplicationServer"" to take the replication source/sink job. HMaster is responsible for scheduling the replication job to different ReplicationServer.

[link Design doc|https://docs.google.com/document/d/16kRPVGctFSf__nC3yaVZmAm3GTxIbHefekKC_rMmTw8/edit?usp=sharing]

Suggestions are welcomed. Thanks.",Major,,Open,01/Jul/20 04:36,,"Offload the replication source/sink job to independent Replication Server. The basic idea is add a role ""ReplicationServer"" to take the replication source/sink job. HMaster is responsible for scheduling the replication job to different ReplicationServer.

[link Design doc|https://docs.google.com/document/d/16kRPVGctFSf__nC3yaVZmAm3GTxIbHefekKC_rMmTw8/edit?usp=sharing]

Suggestions are welcomed. Thanks.",0
HBASE-13380983,13380983,Data is not getting replicated to secondary replicas after altering a table to enable region replication (async Wal replication),"Data is not getting replicated to secondary replicas after altering a table to enable region replication (async Wal replication)
*Test Steps:*
1)Create table with one replica 
create 'table1','cf'
2)Alter table with region replica=3
alter 'table1',\{REGION_REPLICATION => '3'}
3)write data to table1 
*Observation:*
1)Data is not getting replicated to secondary replicas this is happening when alter table after the peer is created for region replication.
2)In table UI page also you can observe write requests showing for secondary replicas=0",Major,,Open,28/May/21 13:07,,"Data is not getting replicated to secondary replicas after altering a table to enable region replication (async Wal replication). Data is not getting replicated to secondary replicas after altering a table to enable region replication (async Wal replication)
*Test Steps:*
1)Create table with one replica 
create 'table1','cf'
2)Alter table with region replica=3
alter 'table1',\{REGION_REPLICATION => '3'}
3)write data to table1 
*Observation:*
1)Data is not getting replicated to secondary replicas this is happening when alter table after the peer is created for region replication.
2)In table UI page also you can observe write requests showing for secondary replicas=0",0
HBASE-13469963,13469963,[hbase-connectors] Fail to build hbase-connectors because of checkstyle error,"We set failOnViolation to true but in pre commit, we will use ""-Dcheckstyle.skip=true"" when running mvninstall so we can not find the problem in pre commit, but when we run 'mvn install' locally, the build will fail.",Major,Fixed,Resolved,04/Jul/22 13:22,02/Aug/23 07:59,"[hbase-connectors] Fail to build hbase-connectors because of checkstyle error. We set failOnViolation to true but in pre commit, we will use ""-Dcheckstyle.skip=true"" when running mvninstall so we can not find the problem in pre commit, but when we run 'mvn install' locally, the build will fail.",0
