Issue id,Summary,Description,Priority,Resolution,Status,Created,Resolved,Affects Version/s
13423883,Replacing log4j with reload4j for branch-2.x,"There are several new CVEs for log4j1 now.

As it is not suitable to upgrade to log4j2 for 2.x releases, let's replace the log4j1 dependencies with reload4j.",Critical,Fixed,Resolved,21/Jan/22 01:52,04/Mar/22 20:07,
13426993,Incorrect exception handling in shell,"The exception handling changed in the shell compared to 2.2.
{noformat}
➜  hbase-upstream git:(branch-2.4) ✗ cat commands.txt
scan 'foo'
exit
➜  hbase-upstream git:(branch-2.4) ✗ bin/hbase shell -n commands.txt
2022-02-07 16:21:33,654 WARN  [main] util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
hbase:001:0> scan 'foo'
ROW                                  COLUMN+CELL
Took 0.3890 seconds                                                                                                                         Traceback (most recent call last):
RuntimeError (Unknown table foo!)
hbase:002:0> exit
➜  hbase-upstream git:(branch-2.4) ✗ echo $?
0 {noformat}
The execution continues even after an exception is thrown. In 2.2.7 the execution stops when an exception is thrown and the shell exits with error code.
{noformat}
➜  hbase-2.2.7 bin/hbase shell -n commands.txt
2022-02-07 16:33:54,930 WARN  [main] util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
ROW                                  COLUMN+CELL
Took 0.3082 seconds                                                                                                                         RuntimeError: Unknown table foo!
  translate_hbase_exceptions at /Users/petersomogyi/tmp/hbase-2.2.7/lib/ruby/shell/commands.rb:130
                command_safe at /Users/petersomogyi/tmp/hbase-2.2.7/lib/ruby/shell/commands.rb:49
            internal_command at /Users/petersomogyi/tmp/hbase-2.2.7/lib/ruby/shell.rb:148
                     command at /Users/petersomogyi/tmp/hbase-2.2.7/lib/ruby/shell.rb:140
                        scan at (eval):2
                      <main> at commands.txt:1
                        load at org/jruby/RubyKernel.java:973
                      <main> at /Users/petersomogyi/tmp/hbase-2.2.7/bin/../bin/hirb.rb:186
➜  hbase-2.2.7 echo $?
1 {noformat}",Critical,Fixed,Resolved,07/Feb/22 17:02,10/Feb/22 11:49,2.4.10
13434739,Log4j2 integration is incorrect in nighly's client integration test,"On master it still uses log4j2.xml and on branch-2.x we completely misses this part...

Let me prepare PRs to fix them.",Critical,Fixed,Resolved,20/Mar/22 12:50,21/Mar/22 03:31,
13433861,TestSnapshotProcedure fails in branch-2,"We still use the origin implementation for Admin in branch-2, which is different from the AdminOverAsyncAdmin in master branch. This patch will try to introduce the snapshot procedure to the origin Admin implementation client in branch-2.",Critical,Fixed,Resolved,15/Mar/22 12:01,18/Mar/22 09:49,
13420402,LoadBalancer should not return empty map,"After HBASE-26641, these two tests are still flaky, they also fail for me locally sometimes.

After digging, I found that, while we see this in the log output after master failover

{noformat}
Wanted to do round robin assignment but no servers to assign to
{noformat}

The UTs will fail.

Need to dig more.",Critical,Fixed,Resolved,03/Jan/22 15:52,07/Jan/22 16:43,2.5.0
13431501,Automatically add default security headers to http/rest if SSL enabled,"In the previous ticket https://issues.apache.org/jira/browse/HBASE-23303 we implemented these security headers as optional which had to explicitly enabled in the config.

With this change the headers will automatically be added with meaningful default values if SSL is enabled.",Major,Fixed,Resolved,02/Mar/22 13:01,26/Oct/24 14:15,2.0.6
13432114,Update ref guide about log4j2 after we changed to use properties file,"In HBASE-25862 we changed the ref guide to mention log4j2.xml, now it should be log4j2.properties then.",Major,Fixed,Resolved,05/Mar/22 01:36,23/Jan/25 02:49,
13432108,Update downloads.xml for 2.4.10,,Major,Fixed,Resolved,05/Mar/22 00:39,05/Mar/22 00:41,
13429446,Scan#setRowPrefixFilter incorrectly marked as deprecated,"Issue HBASE-25299 is about the Scan#setRowPrefixFilter having not the expected effects when using also the setStartRow and/or setStopRow.

The setRowPrefixFilter is intended to make setting the right startRow and stopRow for prefix scans. So it was always intended of using it *instead* of doing separate setStartRow and/or setStopRow calls.

The reason for adding this to the Scan (~ 8 years ago, HBASE-11990 ) was that calculating the correct start and stop row for doing the very efficient prefix scan is very very hard to do right in the generic case.

This is still a current usecase and many of my applications rely on this function (I even prefer the HBase Client when connecting to Google BigTable for this method).

With issue HBASE-25299 it has now been marked as deprecated.
Quote from the changes made in HBASE-25299:

{code}
@deprecated since 3.0.0. The scan result might be unexpected in some cases.
{code}
Yes, if you use this very valuable method incorrectly it will yield incorrect results.
I do not consider this a valid reason to deprecate it.

So I do agree with the confusion of the effects as described in HBASE-25299 which should be fixed with additional documentation.

I disagree with the deprecation of this method.
 

I'll put up a pull request in which I improve the documentation and remove the deprecation.",Major,Fixed,Resolved,19/Feb/22 14:03,02/Mar/22 15:35,3.0.0-alpha-2
13434920,VerifyReplication recompare async,"VerifyReplication includes an option ""sleepMsBeforeReCompare"". This is useful for helping work around replication lag. However, adding a sleep in a hadoop job can drastically slow that job down if there is anything more than a small number of invalid results.

We can mitigate this by doing the recompare in a separate thread. We can limit the thread pool and fallback to doing the recompare in the main thread if the thread pool is full. This way we offload some of the slowness but still retain the same validation guarantees. A configuration can be added to control how many threads per mapper.",Major,Fixed,Resolved,21/Mar/22 13:51,21/Nov/24 02:45,
